GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
694543579,20171002,201710,2017,2017.7452,LEG,SENATE PRESIDENT,,,,,,LEG,,,,,,,,,,,,,0,014,014,01,1,0.0,12,2,12,-3.39704291381176,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.mrt.com/news/crime/article/Rhode-Island-officials-send-condolences-to-Las-12245983.php
694547498,20171002,201710,2017,2017.7452,USA,LAS VEGAS,USA,,,,,,,,,,,,,,,,,,1,193,193,19,4,-10.0,4,1,4,-6.29139072847682,1,Canada,CA,CA,60.0,-96.0,CA,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.yahoo.com/news/parents-las-vegas-shooting-victim-191037985.html
694549428,20171002,201710,2017,2017.7452,CHRCTH,CATHOLIC,,,,CHR,CTH,,,,,,,,,,,,,,0,010,010,01,1,0.0,3,1,3,-2.11864406779662,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://metro.co.uk/2017/10/02/pictured-all-those-who-lost-their-lives-in-the-las-vegas-shooting-6972201/
694579938,20171002,201710,2017,2017.7452,JUD,ADVOCATE,,,,,,JUD,,,,,,,,,,,,,0,030,030,03,1,4.0,5,1,5,-3.57507660878448,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://www.bloomberg.com/news/articles/2017-10-02/nevada-s-background-check-for-gun-buyers-stalls-despite-voter-ok
694432152,20171002,201710,2017,2017.7452,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-10.3825136612022,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,https://sputniknews.com/us/201710021057870968-trump-vegas-shooting-condolences/
694447401,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,090,090,09,2,-2.0,15,6,15,-6.47729729334524,3,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.eagletribune.com/news/killed-injured-in-las-vegas-shooting-chaos-surrounds-concert/article_298e1c66-a767-11e7-894b-b3696507623b.html
694518767,20171002,201710,2017,2017.7452,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,0,050,050,05,1,3.5,40,4,40,-3.0658453002611,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.pe.com/2017/10/02/manhattan-beach-teacher-killed-in-las-vegas-mass-shooting/
694564461,20171002,201710,2017,2017.7452,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,-4.13793103448276,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.nbc15.com/content/news/Airlines-let-passengers-change-Vegas-flights-449130823.html
694504972,20171002,201710,2017,2017.7452,CVL,COMMUNITY,,,,,,CVL,,,,,,,,,,,,,1,020,020,02,1,3.0,4,1,4,-5.03246753246753,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://newsok.com/trump-condemns-act-of-pure-evil-in-las-vegas/article/5566348
694528140,20171002,201710,2017,2017.7452,MED,WEBSITE,,,,,,MED,,,,,,,,,,,,,0,070,070,07,2,7.0,2,1,2,-3.36322869955156,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.washingtonexaminer.com/media-push-for-gun-control-after-las-vegas-shooting/article/2636273
