GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
619075942,20170120,201701,2017,2017.0548,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,1,42,42,4,1,1.9,12,5,12,-1.613585413,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20170120,http://www.dailymail.co.uk/wires/afp/article-4140442/Trump-begins-inauguration-day-activities-church-service.html
619168972,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOVELI,OBAMA,USA,,,,,GOV,ELI,,1,841,84,8,2,7,2,1,2,-1.150747986,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20170120,https://techcrunch.com/2017/01/20/weekly-roundup-zuckerberg-defends-oculus-in-court-obama-commutes-chelsea-manning-sentence/
619118250,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,0,163,163,16,4,-8,8,1,8,-0.964630225,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20170120,http://www.dallasnews.com/news/donald-trump-1/2017/01/20/donald-trump-takes-office-pomp-protest-expectation
619038075,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,15,15,1,1,0,10,1,10,-5.813953488,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20170120,https://www.washingtonpost.com/news/post-nation/wp/2017/01/20/i-have-been-fundamentally-condemned-to-die-in-prison-a-drug-dealer-wrote-obama-listened/
619165371,20170120,201701,2017,2017.0548,USAGOV,NASA,USA,,,,,GOV,,,USAGOV,UNITED STATES,USA,,,,,GOV,,,0,51,51,5,1,3.4,2,2,2,1.367747414,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,20170120,http://www.space.com/35404-president-trump-space-inauguration-speech-history.html
618912219,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,173,173,17,4,-5,20,1,20,-4.761904762,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,20170120,https://www.houstonpublicmedia.org/articles/news/2017/01/19/184388/president-obama-commutes-330-drug-sentences-including-3-from-houston/
618908714,20170120,201701,2017,2017.0548,USAGOV,OBAMA,USA,,,,,GOV,,,USAGOV,OBAMA,USA,,,,,GOV,,,0,80,80,8,2,5,4,2,4,-4.243416822,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,4,"Sinaloa, Tabasco, Mexico",MX,MX27,18.4917,-93.75,6226960,20170120,http://www.scmp.com/news/world/americas/article/2063853/under-military-security-mexico-extradites-notorious-drug-lord-el
619198076,20170120,201701,2017,2017.0548,USAGOV,HILLARY CLINTON,USA,,,,,GOV,,,USAGOV,UNITED STATES,USA,,,,,GOV,,,0,42,42,4,1,1.9,2,1,2,-2.477134146,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20170120,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2017-01-20-US--Trump-Inauguration-The%20Latest/id-40ad478af0f94ccf860db8a15d007ff7
619140927,20170120,201701,2017,2017.0548,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,USAGOV,UNITED STATES,USA,,,,,GOV,,,0,30,30,3,1,4,1,1,1,2.272727273,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20170120,http://www.whsv.com/content/news/Local-politicians-respond-to-inauguration-of-Donald-Trump-411341615.html
619168970,20170120,201701,2017,2017.0548,USAGOV,UNITED STATES,USA,,,,,GOV,,,USAGOV,HILLARY CLINTON,USA,,,,,GOV,,,1,51,51,5,1,3.4,6,2,6,-0.540540541,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20170120,http://www.couriermail.com.au/news/breaking-news/trump-shakes-hands-with-hillary-at-lunch/news-story/ca8a58d91c43c178cdf6b8c39fa8a882?nk=0a71bb49a6d7f561a947e542d94d329d-1484945224
